#All the are expressed in picoFarad
#c1	c_equivalent	
6.223	8.95729
26.5722	12.9294
28.9422	13.2137
23.689	12.5497
85.2818	16.5302
60.1087	15.5609
42.5267	14.4848
48.5912	14.9104
60.5391	15.582
85.9093	16.549
78.829	16.3245
43.9723	14.5926
83.474	16.475
79.8034	16.3571
67.1655	15.8833
95.2694	16.8069
91.3447	16.7036
89.0114	16.639
82.1386	16.433
27.4773	13.0407
58.4059	15.4754
64.7961	15.7804
76.1166	16.2306
25.8678	12.8402
94.9763	16.7994
27.089	12.9934
13.9037	10.8891
54.4725	15.2647
16.8478	11.4617
62.0435	15.6542
68.1128	15.9231
67.5035	15.8976
45.7526	14.7197
33.9699	13.7471
41.9484	14.4405
9.55685	9.88797
64.2749	15.7571
4.6553	8.45775
70.371	16.0148
81.7824	16.4216
81.423	16.4101
47.0465	14.8083
96.18	16.8299
95.4297	16.811
97.4543	16.8616
65.6215	15.8168
68.5725	15.9421
97.1661	16.8545
71.7426	16.0685
54.584	15.271
38.6545	14.1737
76.8642	16.2569
72.776	16.108
28.5609	13.1695
91.6784	16.7126
75.7777	16.2185
87.3533	16.5915
61.4977	15.6283
95.0048	16.8001
36.1566	13.9537
94.7475	16.7935
9.21785	9.80056
35.3543	13.8795
89.421	16.6505
95.933	16.8237
21.1359	12.1777
89.0043	16.6388
78.5722	16.3158
90.8043	16.6889
62.6549	15.6829
62.1707	15.6602
70.9395	16.0372
86.3447	16.5619
56.2992	15.365
39.0361	14.2059
48.7187	14.9186
59.0626	15.5088
6.42115	9.01737
86.3965	16.5635
44.2407	14.6121
22.0227	12.311
19.7345	11.9573
43.2772	14.5413
43.7424	14.5757
74.6933	16.1793
11.6246	10.3903
1.46485	7.2874
73.4187	16.1322
57.7583	15.442
31.6653	13.5134
88.1422	16.6142
30.8431	13.4257
60.7668	15.5931
98.3714	16.884
23.7093	12.5525
22.0304	12.3122
86.5168	16.567
57.2041	15.4131
26.1885	12.8811
5.29477	8.66688
67.0285	15.8775
44.7846	14.6513
22.6935	12.4089
80.9601	16.3951
15.4371	11.1966
86.4747	16.5658
2.61623	7.73617
31.3511	13.4802
18.6542	11.7787
100	16.9231
65.2952	15.8025
37.8741	14.1067
53.4477	15.2066
72.6198	16.1021
24.2533	12.6272
96.61	16.8407
9.26939	9.81395
53.4756	15.2082
80.1042	16.3671
65.8816	15.8282
6.74379	9.11381
6.44454	9.02442
30.4978	13.3882
29.7755	13.3083
32.0778	13.5565
71.0198	16.0404
11.431	10.3454
54.5271	15.2678
69.1045	15.9639
22.3225	12.3551
6.45993	9.02905
82.9419	16.4584
59.7259	15.542
34.0129	13.7513
92.4522	16.7334
51.3641	15.0838
56.1632	15.3576
2.21408	7.58307
66.4671	15.8535
71.5462	16.0609
41.7734	14.4269
10.3279	10.0813
79.7078	16.354
27.3936	13.0306
